date,product,quantity,price
2024-01-01,Bravo,1,45
2024-01-02,Delta,4,27
2024-01-03,Bravo,9,21
2024-01-04,Juliett,7,14
2024-01-05,Alpha,2,37
2024-01-06,Delta,9,87
2024-01-07,Alpha,9,35
2024-01-08,India,7,38
2024-01-09,Hotel,10,45
2024-01-10,Alpha,3,99
2024-01-11,Golf,6,45
2024-01-12,Charlie,4,53
2024-01-13,Bravo,2,58
2024-01-14,Bravo,6,54
2024-01-15,Juliett,5,15
2024-01-16,Hotel,9,25
2024-01-17,Golf,2,80
2024-01-18,Echo,10,56
2024-01-19,Juliett,4,100
2024-01-20,Bravo,1,94
2024-01-21,Delta,5,20
2024-01-22,Delta,2,58
2024-01-23,Echo,8,91
2024-01-24,Foxtrot,3,57
2024-01-25,Foxtrot,4,95
2024-01-26,Echo,2,87
2024-01-27,Charlie,9,41
2024-01-28,Charlie,8,58
2024-01-29,Echo,9,38
2024-01-30,Foxtrot,1,39
2024-01-31,Alpha,6,61
2024-02-01,Echo,2,37
2024-02-02,Juliett,6,37
2024-02-03,Hotel,7,92
2024-02-04,Hotel,3,43
2024-02-05,Charlie,4,81
2024-02-06,India,5,84
2024-02-07,Golf,10,61
2024-02-08,Foxtrot,4,27
2024-02-09,India,8,21
2024-02-10,Alpha,2,29
2024-02-11,Charlie,7,86
2024-02-12,Bravo,7,58
2024-02-13,Juliett,8,77
2024-02-14,Echo,9,11
2024-02-15,Bravo,9,44
2024-02-16,Foxtrot,2,47
2024-02-17,Golf,3,68
2024-02-18,Alpha,5,74
2024-02-19,Charlie,9,23
