date,product,quantity,price
2024-01-01,Echo,6,23
2024-01-02,Delta,3,37
2024-01-03,Echo,9,22
2024-01-04,Golf,9,87
2024-01-05,Hotel,10,62
2024-01-06,Echo,9,75
2024-01-07,Alpha,8,34
2024-01-08,Bravo,5,41
2024-01-09,Golf,10,98
2024-01-10,Charlie,6,15
2024-01-11,Alpha,6,23
2024-01-12,Golf,3,88
2024-01-13,Charlie,5,74
2024-01-14,Echo,2,24
2024-01-15,Golf,7,82
2024-01-16,Hotel,10,36
2024-01-17,Bravo,9,64
2024-01-18,Echo,10,73
2024-01-19,Bravo,2,83
2024-01-20,Alpha,9,17
2024-01-21,Charlie,4,58
2024-01-22,Hotel,3,16
2024-01-23,Alpha,8,44
2024-01-24,Echo,1,44
2024-01-25,Echo,2,28
2024-01-26,Foxtrot,4,32
2024-01-27,Delta,6,86
2024-01-28,Echo,6,21
2024-01-29,Charlie,3,90
2024-01-30,Alpha,6,56
2024-01-01,Foxtrot,6,80
2024-01-02,Foxtrot,1,84
2024-01-03,Golf,4,41
2024-01-04,Foxtrot,7,39
2024-01-05,Charlie,9,81
2024-01-06,Golf,6,77
2024-01-07,Foxtrot,3,15
2024-01-08,Hotel,7,78
2024-01-09,Charlie,9,66
2024-01-10,Charlie,5,83
2024-01-11,Hotel,6,99
2024-01-12,Charlie,6,70
2024-01-13,Alpha,4,85
2024-01-14,Hotel,3,88
2024-01-15,Golf,8,60
2024-01-16,Hotel,3,98
2024-01-17,Echo,10,75
2024-01-18,Alpha,3,15
2024-01-19,Foxtrot,2,44
2024-01-20,Charlie,6,14
